provider,query_id,correct,after_cell,after_fetched_any,fetch_attempts,fetch_successes,pooled_rows,pooled_gold,pooled_contra,retained_rows,retained_gold,retained_contra
brave,sealhard_0117c1361b85,0,BLIND,1,5,5,29,0,0,25,0,0
brave,sealhard_0611df120e9b,0,NOOP,0,0,0,30,0,8,18,0,3
brave,sealhard_06488d667987,1,BLIND,1,1,1,29,0,0,14,0,0
brave,sealhard_06b1ff93f9e7,1,BLIND,1,1,1,29,0,0,29,0,0
brave,sealhard_0d25d5916602,1,BLIND,1,1,1,9,0,0,9,0,0
brave,sealhard_0fc3e12e6df9,0,NOOP,0,0,0,30,0,0,24,0,0
brave,sealhard_13f3dda94ad1,1,BLIND,1,3,3,7,0,0,7,0,0
brave,sealhard_154703c26212,0,NOOP,0,0,0,10,0,5,10,0,5
brave,sealhard_17561ba00ed9,0,MISSED,0,0,0,30,1,14,18,1,8
brave,sealhard_1768d0c92783,0,MISSED,0,0,0,30,12,0,24,8,0
brave,sealhard_1b9de8dee6b2,0,BLIND,1,1,1,9,0,0,9,0,0
brave,sealhard_21420e375cbb,1,BLIND,1,1,1,29,0,0,24,0,0
brave,sealhard_26f0dfb5b0e5,0,MISSED,0,0,0,29,6,3,18,3,2
brave,sealhard_2a710db3a65d,1,BLIND,1,1,1,9,0,0,9,0,0
brave,sealhard_2ccdb7c85090,0,MISSED,0,0,0,10,6,4,10,6,4
brave,sealhard_370de35828d1,0,BLIND,1,1,1,9,0,0,9,0,0
brave,sealhard_3bdf0b4d6146,0,BLIND,1,2,0,14,0,0,12,0,0
brave,sealhard_3c3bc246c0d6,0,BLIND,1,2,2,8,0,0,8,0,0
brave,sealhard_3fdf524a2ea9,1,BLIND,1,1,1,29,0,0,13,0,0
brave,sealhard_41eb61aaf82d,0,NOOP,0,0,0,10,0,0,10,0,0
brave,sealhard_457b38855fa4,0,MISSED,0,0,0,30,7,3,21,6,2
brave,sealhard_468bd5efbfe8,1,SMART,1,1,1,9,0,2,9,0,2
brave,sealhard_470fed8377ce,0,BLIND,1,1,1,9,0,0,9,0,0
brave,sealhard_4981ad02a6fc,1,MISSED,0,0,0,10,6,0,10,6,0
brave,sealhard_4a3db339e0a0,0,MISSED,0,0,0,30,3,0,22,2,0
brave,sealhard_4adca023da1a,0,BLIND,1,6,6,105,0,1,73,0,1
brave,sealhard_4f128462c995,1,MISSED,0,0,0,9,8,0,9,8,0
brave,sealhard_4f507e42c1be,0,BLIND,1,3,3,37,0,0,33,0,0
brave,sealhard_4f8215a4eaab,0,NOOP,0,0,0,10,0,4,10,0,4
brave,sealhard_509fa8d560e8,0,MISSED,1,1,1,9,1,0,9,1,0
brave,sealhard_52c34c9decc3,0,BLIND,1,1,1,9,0,0,9,0,0
brave,sealhard_5668b93dd088,1,MISSED,0,0,0,20,4,4,13,3,2
brave,sealhard_5685bd22ca4d,0,BLIND,1,1,1,9,0,0,9,0,0
brave,sealhard_57a597e92ac4,0,MISSED,1,1,1,9,1,0,9,1,0
brave,sealhard_5a4a585bfbac,1,SMART,1,3,3,27,3,3,16,1,1
brave,sealhard_5e17b3c38fb1,1,BLIND,1,1,1,9,0,0,9,0,0
brave,sealhard_61f85b369b4c,1,MISSED,1,1,1,29,1,0,28,1,0
brave,sealhard_644ca5e960ff,0,BLIND,1,1,1,9,0,0,9,0,0
brave,sealhard_6747b5584761,0,BLIND,1,3,2,17,0,0,17,0,0
brave,sealhard_6c0f077e50c1,1,MISSED,0,0,0,10,1,2,10,1,2
brave,sealhard_6c8b9a75ad1b,0,BLIND,1,3,2,27,0,0,24,0,0
brave,sealhard_6d8469c83a5a,0,NOOP,0,0,0,10,0,0,10,0,0
brave,sealhard_6f8f541710fe,0,BLIND,1,1,1,19,0,0,15,0,0
brave,sealhard_77156a372cf9,1,BLIND,1,1,1,9,0,0,9,0,0
brave,sealhard_79977a575736,1,MISSED,0,0,0,30,2,0,18,1,0
brave,sealhard_7a73644c826b,0,BLIND,1,1,1,9,0,0,9,0,0
brave,sealhard_7b44552616b7,1,MISSED,0,0,0,30,1,1,24,1,1
brave,sealhard_7e06b26c28c5,0,BLIND,1,1,1,29,0,1,25,0,1
brave,sealhard_7e9246c1c2fc,0,BLIND,1,1,1,19,0,0,15,0,0
brave,sealhard_7fdc626d3d31,0,BLIND,1,1,1,9,0,0,9,0,0
