query_id	provider	question	gold_answer	model_answer	em	semantic_match	judgement	judgement_note
sealhard_0117c1361b85	brave	According to the International Telecommunication Union (ITU), which country had the highest number of mobile cellular subscribers (per 100 people) worldwide in 1990?	Sweden	Finland	0	0	no_match	
sealhard_0611df120e9b	brave	What is the supercomputer that has the fastest speed outside the US and can help transform scientific research by accelerating breakthroughs across various fields?	HPC6	JUPITER	0	0	no_match	
sealhard_06488d667987	brave	How many mountain peaks over 7,200 metres (23,622 feet) are there in Pakistan?	42	42	1	1	match	
sealhard_06b1ff93f9e7	brave	How many active players have won one or more ATP Finals singles titles? Please note that Andy Murray is no longer active.	six	6	1	1	match	
sealhard_0d25d5916602	brave	How many nations have won multiple gold medals in the Open section of the Chess Olympiad, excluding virtual and unofficial events?	7	7	1	1	match	
sealhard_0fc3e12e6df9	brave	Among the female competitive swimmers who won the most Olympic gold medals in a single games from 1989 to 2019, who achieved this feat at a younger age?	Missy Franklin	Debbie Meyer	0	0	no_match	
sealhard_13f3dda94ad1	brave	Which country has won the most bronze medals in the history of the World Pastry Cup?	Italy	Italy	1	1	match	
sealhard_154703c26212	brave	Elon Musk's online persona is synonymous with witty comebacks and sarcastic remarks, often aimed at individuals or institutions. What title did he humorously declare himself as in his Twitter bio just days after closing the acquisition deal to take over the platform?	Twitter Complaint Hotline Operator	Chief Twit	0	0	no_match	
sealhard_17561ba00ed9	brave	Which is the oldest university in continuous operation in Italy that began as a faculty-led institution? It played a central role in the sciences during the medieval period and the Italian Renaissance, educating Nicholas Copernicus and numerous other Renaissance mathematicians.	University of Padua	University of Bologna	0	0	no_match	
sealhard_1768d0c92783	brave	What is the smallest positive integer that can be written as the sum of two perfect squares, with both of these perfect squares being prime numbers?	No square number is a prime number.	8	0	0	no_match	
sealhard_1b9de8dee6b2	brave	Among the 50 most-liked Instagram posts, how many were made by Cristiano Ronaldo’s account and received over 27 million likes?	8	5	0	0	no_match	
