metric,label,left,right,left_label,right_label,estimate,ci_low,ci_high,unit,digits,formatted
correct,Correct /100,brave,tavily,Brave,Tavily,0,-9.0,9.0,queries,0,"0 [-9, 9]"
correct,Correct /100,brave,firecrawl,Brave,Firecrawl,-1,-10.0,8.024999999999636,queries,0,"-1 [-10, 8]"
correct,Correct /100,tavily,firecrawl,Tavily,Firecrawl,-1,-10.0,8.0,queries,0,"-1 [-10, 8]"
token_f1,Token F1,brave,tavily,Brave,Tavily,0.008916666666666684,-0.07517083333333338,0.09367499999999994,macro F1,3,"0.009 [-0.075, 0.094]"
token_f1,Token F1,brave,firecrawl,Brave,Firecrawl,-0.01277380952380952,-0.09820238095238092,0.07408541666666665,macro F1,3,"-0.013 [-0.098, 0.074]"
token_f1,Token F1,tavily,firecrawl,Tavily,Firecrawl,-0.021690476190476204,-0.10871428571428571,0.0633333333333333,macro F1,3,"-0.022 [-0.109, 0.063]"
pre_fetch_support,Pre-fetch support /100,brave,tavily,Brave,Tavily,14,4.0,24.0,queries,0,"14 [4, 24]"
pre_fetch_support,Pre-fetch support /100,brave,firecrawl,Brave,Firecrawl,14,6.0,22.0,queries,0,"14 [6, 22]"
pre_fetch_support,Pre-fetch support /100,tavily,firecrawl,Tavily,Firecrawl,0,-8.0,8.0,queries,0,"0 [-8, 8]"
rank1_pre_fetch,Rank-1 pre-fetch,brave,tavily,Brave,Tavily,-37.12871287128713,-67.32269620811287,-16.823394951473773,percent,1,"-37.1 [-67.3, -16.8]"
rank1_pre_fetch,Rank-1 pre-fetch,brave,firecrawl,Brave,Firecrawl,-0.46204620462046186,-13.333333333333334,10.128586065573767,percent,1,"-0.5 [-13.3, 10.1]"
rank1_pre_fetch,Rank-1 pre-fetch,tavily,firecrawl,Tavily,Firecrawl,36.666666666666664,18.7648416594717,66.44794891640866,percent,1,"36.7 [18.8, 66.4]"
surface_cg,Surface c:g,brave,tavily,Brave,Tavily,-0.9534419687396075,-3.221205415397999,0.0016085256887558431,ratio,2,"-0.95 [-3.22, 0.00]"
surface_cg,Surface c:g,brave,firecrawl,Brave,Firecrawl,-1.6750668193967164,-6.777175324675325,-0.36114057044990444,ratio,2,"-1.68 [-6.78, -0.36]"
surface_cg,Surface c:g,tavily,firecrawl,Tavily,Firecrawl,-0.7216248506571088,-4.8604895104895105,0.5277777777777777,ratio,2,"-0.72 [-4.86, 0.53]"
fetched_queries,Fetched queries /100,brave,tavily,Brave,Tavily,-11,-19.0,-3.0,queries,0,"-11 [-19, -3]"
fetched_queries,Fetched queries /100,brave,firecrawl,Brave,Firecrawl,-16,-25.0,-7.0,queries,0,"-16 [-25, -7]"
fetched_queries,Fetched queries /100,tavily,firecrawl,Tavily,Firecrawl,-5,-12.0,1.0,queries,0,"-5 [-12, 1]"
avg_fetch_calls,Avg. fetch calls,brave,tavily,Brave,Tavily,-0.28,-0.55,-0.020000000000000018,calls/query,2,"-0.28 [-0.55, -0.02]"
avg_fetch_calls,Avg. fetch calls,brave,firecrawl,Brave,Firecrawl,-0.26,-0.51,-0.020000000000000018,calls/query,2,"-0.26 [-0.51, -0.02]"
avg_fetch_calls,Avg. fetch calls,tavily,firecrawl,Tavily,Firecrawl,0.020000000000000018,-0.22999999999999998,0.27,calls/query,2,"0.02 [-0.23, 0.27]"
tokens_query,Tokens/query,brave,tavily,Brave,Tavily,5470.879999999997,-4590.543249999999,16175.831250000001,tokens,0,"5,471 [-4,591, 16,176]"
tokens_query,Tokens/query,brave,firecrawl,Brave,Firecrawl,1648.0199999999968,-11833.928749999997,13959.486499999995,tokens,0,"1,648 [-11,834, 13,959]"
tokens_query,Tokens/query,tavily,firecrawl,Tavily,Firecrawl,-3822.8600000000006,-18019.121999999992,9064.399249999997,tokens,0,"-3,823 [-18,019, 9,064]"
