left,right,metric,unit,questions,difference,ci_low,ci_high,undefined_replicates,missing_label_lower,missing_label_upper,sampling_and_missing_low,sampling_and_missing_high
brave,tavily,first_support_at_1,percent,100,-4.0,-11.0,3.0,0,-9.0,-4.0,-17.0,3.0
brave,tavily,first_mrr,MRR,100,-0.0004365079365079433,-0.06685,0.06395376984126981,0,-0.053936507936507935,0.004063492063492061,-0.1305246031746032,0.06906408730158729
brave,tavily,first_support_any,percent,100,12.0,2.0,22.0,0,5.0,14.0,-5.0,24.0
brave,tavily,contradiction_query_pct,percent,100,6.0,-3.0,15.0,0,1.0,11.0,-8.0,21.0
brave,tavily,contradiction_row_pct,percent,100,1.768517847722697,0.3509798522714417,3.283794231240794,0,,,,
brave,tavily,pooled_cg_ratio,ratio,100,-0.9534419687396075,-3.221205415397999,0.0016085256887558431,0,,,,
brave,tavily,deduplicated_contradiction_query_pct,percent,100,6.0,-3.0,15.0,0,,,,
brave,tavily,deduplicated_contradiction_row_pct,percent,100,1.0337808869346725,-0.01377878376716288,2.132750259711752,0,,,,
brave,tavily,deduplicated_cg_ratio,ratio,100,-1.1311030741410488,-3.9015718028101927,-0.16694604709184482,0,,,,
brave,firecrawl,first_support_at_1,percent,100,3.0,0.0,7.0,0,0.0,3.0,-4.0,7.0
brave,firecrawl,first_mrr,MRR,100,0.06214682539682539,0.023021726190476197,0.10707857142857137,0,0.023845238095238086,0.0666468253968254,-0.022620535714285718,0.1115483134920635
brave,firecrawl,first_support_any,percent,100,15.0,7.0,24.0,0,7.0,17.0,-2.0,26.0
brave,firecrawl,contradiction_query_pct,percent,100,-1.0,-10.0,8.0,0,-9.0,4.0,-19.0,14.0
brave,firecrawl,contradiction_row_pct,percent,100,0.8908958751852931,-0.4958044664344843,2.3624054483571952,0,,,,
brave,firecrawl,pooled_cg_ratio,ratio,100,-1.6750668193967164,-6.777175324675325,-0.36114057044990444,0,,,,
brave,firecrawl,deduplicated_contradiction_query_pct,percent,100,-1.0,-10.0,8.0,0,,,,
brave,firecrawl,deduplicated_contradiction_row_pct,percent,100,0.14669401027140117,-1.0500967061257298,1.3084853638028873,0,,,,
brave,firecrawl,deduplicated_cg_ratio,ratio,100,-1.7025316455696202,-6.464526032823996,-0.4371433833477549,0,,,,
tavily,firecrawl,first_support_at_1,percent,100,7.0,2.0,13.0,0,4.0,12.0,-3.0,19.0
tavily,firecrawl,first_mrr,MRR,100,0.06258333333333332,0.008333333333333338,0.12383333333333332,0,0.02428174603174603,0.11608333333333332,-0.0426390873015873,0.18875208333333332
tavily,firecrawl,first_support_any,percent,100,3.0,-4.0,10.0,0,-5.0,10.0,-14.0,19.0
tavily,firecrawl,contradiction_query_pct,percent,100,-7.0,-15.0,1.0,0,-15.0,-2.0,-25.0,7.0
tavily,firecrawl,contradiction_row_pct,percent,100,-0.8776219725374039,-1.9009385709247457,0.16617510051396456,0,,,,
tavily,firecrawl,pooled_cg_ratio,ratio,100,-0.7216248506571088,-4.8604895104895105,0.5277777777777777,0,,,,
tavily,firecrawl,deduplicated_contradiction_query_pct,percent,100,-7.0,-15.0,1.0,0,,,,
tavily,firecrawl,deduplicated_contradiction_row_pct,percent,100,-0.8870868766632714,-1.8672892334259428,0.1051853253689333,0,,,,
tavily,firecrawl,deduplicated_cg_ratio,ratio,100,-0.5714285714285714,-4.062524801587301,0.8494642857142857,0,,,,
