query_id,provider,em,semantic_match
sealhard_0117c1361b85,brave,0,0
sealhard_0611df120e9b,brave,0,0
sealhard_06488d667987,brave,1,1
sealhard_06b1ff93f9e7,brave,1,1
sealhard_0d25d5916602,brave,1,1
sealhard_0fc3e12e6df9,brave,0,0
sealhard_13f3dda94ad1,brave,1,1
sealhard_154703c26212,brave,0,0
sealhard_17561ba00ed9,brave,0,0
sealhard_1768d0c92783,brave,0,0
sealhard_1b9de8dee6b2,brave,0,0
sealhard_21420e375cbb,brave,1,1
sealhard_26f0dfb5b0e5,brave,0,0
sealhard_2a710db3a65d,brave,1,1
sealhard_2ccdb7c85090,brave,0,0
sealhard_370de35828d1,brave,0,0
sealhard_3bdf0b4d6146,brave,0,0
sealhard_3c3bc246c0d6,brave,0,0
sealhard_3fdf524a2ea9,brave,0,1
sealhard_41eb61aaf82d,brave,0,0
sealhard_457b38855fa4,brave,0,0
sealhard_468bd5efbfe8,brave,0,1
sealhard_470fed8377ce,brave,0,0
sealhard_4981ad02a6fc,brave,0,1
sealhard_4a3db339e0a0,brave,0,0
sealhard_4adca023da1a,brave,0,0
sealhard_4f128462c995,brave,1,1
sealhard_4f507e42c1be,brave,0,0
sealhard_4f8215a4eaab,brave,0,0
sealhard_509fa8d560e8,brave,0,0
sealhard_52c34c9decc3,brave,0,0
sealhard_5668b93dd088,brave,1,1
sealhard_5685bd22ca4d,brave,0,0
sealhard_57a597e92ac4,brave,0,0
sealhard_5a4a585bfbac,brave,1,1
sealhard_5e17b3c38fb1,brave,1,1
sealhard_61f85b369b4c,brave,1,1
sealhard_644ca5e960ff,brave,0,0
sealhard_6747b5584761,brave,0,0
sealhard_6c0f077e50c1,brave,1,1
sealhard_6c8b9a75ad1b,brave,0,0
sealhard_6d8469c83a5a,brave,0,0
sealhard_6f8f541710fe,brave,0,0
sealhard_77156a372cf9,brave,1,1
sealhard_79977a575736,brave,1,1
sealhard_7a73644c826b,brave,0,0
sealhard_7b44552616b7,brave,1,1
sealhard_7e06b26c28c5,brave,0,0
sealhard_7e9246c1c2fc,brave,0,0
sealhard_7fdc626d3d31,brave,0,0
sealhard_83027d490eb7,brave,0,0
sealhard_84253b2d7450,brave,1,1
sealhard_848d0e19b216,brave,0,0
sealhard_85fcb317a706,brave,0,0
sealhard_862314ca8353,brave,0,0
sealhard_877552ec67c0,brave,0,0
sealhard_88907b1ee49b,brave,0,0
sealhard_8979d1d1c501,brave,1,1
sealhard_8999039cdd56,brave,0,0
sealhard_8b97a64daaf1,brave,1,1
sealhard_904abf430fa7,brave,0,0
sealhard_92742491b67e,brave,0,0
sealhard_93641f5fc924,brave,1,1
sealhard_98cbbbef96fd,brave,0,0
sealhard_9c2333ca67b4,brave,0,0
sealhard_9d5b346b1ad2,brave,0,0
sealhard_a2c20fcc3ff1,brave,0,0
sealhard_ac9846d309e4,brave,0,0
sealhard_b01f894cc6d2,brave,0,0
sealhard_b5744e399b13,brave,0,0
sealhard_b6c30f169f85,brave,1,1
sealhard_b95d990d560f,brave,0,0
sealhard_b9d6a3303845,brave,0,0
sealhard_c02ac99c3053,brave,0,0
sealhard_c42af40fb77f,brave,0,0
sealhard_c71d4bbb72a2,brave,0,0
sealhard_c8cb1e820500,brave,0,0
sealhard_caa717c1ae32,brave,0,0
sealhard_cbc32eddafe8,brave,0,0
sealhard_ce095a0ff9b3,brave,0,0
sealhard_d0e475bbc1fa,brave,0,0
sealhard_d246c498c8d0,brave,1,1
sealhard_d3cfe61ba140,brave,0,1
sealhard_d6f7180757d7,brave,0,0
sealhard_d84ed7de52a6,brave,0,0
sealhard_d86116d626f4,brave,0,0
sealhard_da3317f9956a,brave,0,0
sealhard_dfbfbf0c656e,brave,0,0
sealhard_e0bad036abba,brave,0,0
sealhard_e5ddddb8907e,brave,0,0
sealhard_eaa4ac25b7c8,brave,0,0
sealhard_efdabbe9b72d,brave,0,0
sealhard_efefd0c39dc3,brave,0,0
sealhard_f10df60e2683,brave,0,0
sealhard_f39b83a91b3d,brave,0,0
sealhard_f3d0240d194b,brave,0,0
sealhard_f55654234b08,brave,0,0
sealhard_fae643a27cce,brave,0,0
sealhard_fb76b1d418d2,brave,0,0
sealhard_fb9cb8c1d039,brave,0,0
sealhard_0117c1361b85,tavily,0,0
sealhard_0611df120e9b,tavily,0,0
sealhard_06488d667987,tavily,0,0
sealhard_06b1ff93f9e7,tavily,1,1
sealhard_0d25d5916602,tavily,1,1
sealhard_0fc3e12e6df9,tavily,0,0
sealhard_13f3dda94ad1,tavily,1,1
sealhard_154703c26212,tavily,0,0
sealhard_17561ba00ed9,tavily,0,0
sealhard_1768d0c92783,tavily,0,0
sealhard_1b9de8dee6b2,tavily,0,0
sealhard_21420e375cbb,tavily,1,1
sealhard_26f0dfb5b0e5,tavily,0,0
sealhard_2a710db3a65d,tavily,0,0
sealhard_2ccdb7c85090,tavily,0,0
sealhard_370de35828d1,tavily,0,0
sealhard_3bdf0b4d6146,tavily,0,0
sealhard_3c3bc246c0d6,tavily,1,1
sealhard_3fdf524a2ea9,tavily,0,1
sealhard_41eb61aaf82d,tavily,0,0
sealhard_457b38855fa4,tavily,1,1
sealhard_468bd5efbfe8,tavily,0,0
sealhard_470fed8377ce,tavily,0,0
sealhard_4981ad02a6fc,tavily,0,1
sealhard_4a3db339e0a0,tavily,0,0
sealhard_4adca023da1a,tavily,0,0
sealhard_4f128462c995,tavily,1,1
sealhard_4f507e42c1be,tavily,0,0
sealhard_4f8215a4eaab,tavily,0,0
sealhard_509fa8d560e8,tavily,0,0
sealhard_52c34c9decc3,tavily,0,0
sealhard_5668b93dd088,tavily,0,0
sealhard_5685bd22ca4d,tavily,0,0
sealhard_57a597e92ac4,tavily,0,0
sealhard_5a4a585bfbac,tavily,1,1
sealhard_5e17b3c38fb1,tavily,1,1
sealhard_61f85b369b4c,tavily,1,1
sealhard_644ca5e960ff,tavily,0,0
sealhard_6747b5584761,tavily,0,0
sealhard_6c0f077e50c1,tavily,1,1
