provider_id,query_id,surface,label,kimi_value,rank,human_value,human_agrees_with_kimi
brave,sealhard_154703c26212,snippet_only,contains_gold_answer,False,8,false,true
brave,sealhard_1768d0c92783,snippet_only,contains_gold_answer,True,5,true,true
brave,sealhard_457b38855fa4,snippet_only,contains_gold_answer,True,7,true,true
brave,sealhard_4a3db339e0a0,snippet_only,contains_gold_answer,True,3,true,true
brave,sealhard_4adca023da1a,snippet_only,contains_gold_answer,False,7,false,true
brave,sealhard_85fcb317a706,snippet_only,contains_gold_answer,False,10,false,true
brave,sealhard_93641f5fc924,snippet_only,contains_gold_answer,False,5,false,true
brave,sealhard_d246c498c8d0,snippet_only,contains_gold_answer,True,10,true,true
brave,sealhard_d86116d626f4,snippet_only,contains_gold_answer,False,2,false,true
brave,sealhard_fb9cb8c1d039,snippet_only,contains_gold_answer,True,3,true,true
brave,sealhard_17561ba00ed9,snippet_only,contradicts_gold_answer,True,8,true,true
brave,sealhard_5a4a585bfbac,snippet_only,contradicts_gold_answer,True,2,unclear,
brave,sealhard_7b44552616b7,snippet_only,contradicts_gold_answer,True,7,true,true
brave,sealhard_7e9246c1c2fc,snippet_only,contradicts_gold_answer,False,3,false,true
brave,sealhard_85fcb317a706,snippet_only,contradicts_gold_answer,True,9,true,true
brave,sealhard_93641f5fc924,snippet_only,contradicts_gold_answer,False,8,false,true
brave,sealhard_98cbbbef96fd,snippet_only,contradicts_gold_answer,True,3,true,true
brave,sealhard_b9d6a3303845,snippet_only,contradicts_gold_answer,False,10,false,true
brave,sealhard_da3317f9956a,snippet_only,contradicts_gold_answer,False,1,false,true
brave,sealhard_f10df60e2683,snippet_only,contradicts_gold_answer,False,7,false,true
brave,sealhard_0fc3e12e6df9,snippet_only,is_garbage,False,5,true,false
brave,sealhard_26f0dfb5b0e5,snippet_only,is_garbage,False,8,true,false
brave,sealhard_4adca023da1a,snippet_only,is_garbage,False,6,false,true
brave,sealhard_6c8b9a75ad1b,snippet_only,is_garbage,True,1,true,true
brave,sealhard_848d0e19b216,snippet_only,is_garbage,True,9,true,true
brave,sealhard_8999039cdd56,snippet_only,is_garbage,False,4,true,false
brave,sealhard_d0e475bbc1fa,snippet_only,is_garbage,False,6,false,true
brave,sealhard_d86116d626f4,snippet_only,is_garbage,True,2,true,true
brave,sealhard_f10df60e2683,snippet_only,is_garbage,True,10,true,true
brave,sealhard_f10df60e2683,snippet_only,is_garbage,True,3,true,true
brave,sealhard_1b9de8dee6b2,page_visible,contains_gold_answer,False,1,false,true
brave,sealhard_57a597e92ac4,page_visible,contains_gold_answer,True,4,true,true
brave,sealhard_5a4a585bfbac,page_visible,contains_gold_answer,True,4,false,false
brave,sealhard_5e17b3c38fb1,page_visible,contains_gold_answer,True,2,true,true
brave,sealhard_7a73644c826b,page_visible,contains_gold_answer,True,4,true,true
brave,sealhard_83027d490eb7,page_visible,contains_gold_answer,True,4,true,true
brave,sealhard_8979d1d1c501,page_visible,contains_gold_answer,False,1,false,true
brave,sealhard_904abf430fa7,page_visible,contains_gold_answer,False,1,false,true
brave,sealhard_da3317f9956a,page_visible,contains_gold_answer,False,2,false,true
brave,sealhard_f39b83a91b3d,page_visible,contains_gold_answer,False,3,false,true
brave,sealhard_3c3bc246c0d6,page_visible,contradicts_gold_answer,True,1,false,false
brave,sealhard_4adca023da1a,page_visible,contradicts_gold_answer,False,1,false,true
brave,sealhard_4adca023da1a,page_visible,contradicts_gold_answer,False,9,false,true
brave,sealhard_77156a372cf9,page_visible,contradicts_gold_answer,True,3,false,false
brave,sealhard_862314ca8353,page_visible,contradicts_gold_answer,True,9,false,false
brave,sealhard_93641f5fc924,page_visible,contradicts_gold_answer,False,1,false,true
brave,sealhard_caa717c1ae32,page_visible,contradicts_gold_answer,True,4,true,true
brave,sealhard_efdabbe9b72d,page_visible,contradicts_gold_answer,True,1,unclear,
brave,sealhard_f39b83a91b3d,page_visible,contradicts_gold_answer,False,3,false,true
brave,sealhard_f39b83a91b3d,page_visible,contradicts_gold_answer,False,9,false,true
brave,sealhard_13f3dda94ad1,page_visible,is_garbage,False,2,false,true
brave,sealhard_2a710db3a65d,page_visible,is_garbage,False,2,false,true
brave,sealhard_4adca023da1a,page_visible,is_garbage,False,1,false,true
brave,sealhard_6c8b9a75ad1b,page_visible,is_garbage,True,9,true,true
brave,sealhard_77156a372cf9,page_visible,is_garbage,False,3,false,true
